user_id,transaction_type,amount,balance_before,balance_after,timestamp,is_anomaly,balance_ratio,amount_to_balance_ratio,norm_amount
user_33,1,7935.9,218848.46,226784.36,2023-01-01 14:01:00,0,-0.0141496664711224,-0.8189623044668621,-0.7378992840764094
user_84,1,3458357.52,263763.12,3722120.64,2023-01-01 13:14:00,1,2.822753308365775,2.3912997708332333,5.066196366825849
user_12,-1,27278.22,466034.57,438756.35,2023-01-04 01:51:00,0,-0.0350068695495889,-0.4534172374791645,0.6142590551570285
user_59,1,21626.05,361934.14,383560.19,2023-01-01 18:25:00,0,-0.0089830297429165,-0.4348680948326896,0.3673875986862862
user_28,-1,11994.23,286297.38,274303.15,2023-01-06 07:55:00,0,-0.0313452699322562,-0.7215418404108441,-0.2746515783360046
user_28,-1,6710.9,281663.49,274952.59,2023-01-02 07:35:00,0,-0.0273693265695885,-1.0470579365282802,-0.929166800894458
user_15,1,7895.17,288144.19,296039.36,2023-01-04 16:47:00,0,-0.0160990929933258,-0.9796062351587316,-0.7437414140996482
user_4,-1,9724.86,444062.14,434337.28,2023-01-01 18:49:00,0,-0.0269454937979184,-1.0840669834023773,-0.5084938572639732
user_54,1,6876.91,314961.26,321838.17,2023-01-07 02:19:00,0,-0.0173235054659639,-1.0853361575885536,-0.9011733823236416
user_72,-1,1480.73,349517.62,348036.89,2023-01-01 12:49:00,0,-0.0230590952317651,-1.4462253897597,-2.7402634922472098
user_26,1,27344.63,237284.92,264629.55,2023-01-07 08:49:00,0,0.0032195982980527,0.2768941865167589,0.6168266598292418
user_11,1,27298.32,362990.42,390288.74,2023-01-01 09:25:00,0,-0.005584446568143,-0.2115871893998085,0.6150368775903805
user_0,1,29022.0,406267.49,435289.49,2023-01-06 00:47:00,0,-0.0064131998394186,-0.2640633316326066,0.6795769306077544
user_80,1,28455.54,122738.91,151194.45,2023-01-06 11:26:00,0,0.0288503404785883,1.1899553361669186,0.658824987447762
user_56,1,29431.42,136792.54,166223.96000000002,2023-01-03 02:54:00,0,0.0251836640777133,1.0931109037625335,0.6943105948989874
user_61,-1,5148.73,88979.21,83830.48000000001,2023-01-03 11:50:00,0,-0.0348598132892725,-0.4636479545668916,-1.2353040595265288
user_40,-1,1000.0,389675.43,388675.43,2023-01-07 09:41:00,0,-0.0226916120288492,-1.4827148950396678,-3.2372992603404827
user_19,1,23356.97,45093.83,68450.8,2023-01-03 08:35:00,0,0.0916888194991561,2.0248890363745717,0.4496254678622357
user_11,-1,10040.65,279891.47,269850.81999999995,2023-01-07 10:42:00,0,-0.0300203198451621,-0.8258170562811473,-0.4726796142534376
user_48,-1,6322.19,122824.72,116502.53,2023-01-02 15:56:00,0,-0.0334532772423243,-0.5637207365997884,-0.9976879795945324
user_7,1,27361.22,459685.35,487046.57,2023-01-04 23:51:00,0,-0.0090335538775216,-0.4383534419326195,0.6174670472464526
user_48,-1,11801.57,140113.46,128311.88999999998,2023-01-01 06:04:00,0,-0.0406624588245303,-0.0907907358477439,-0.2926034186822965
user_82,1,25182.59,186152.38,211334.97,2023-01-05 09:03:00,0,0.00762579278304,0.4805002053353358,0.5296478177113622
user_19,-1,4834.37,205439.4,200605.03,2023-01-01 05:02:00,0,-0.0273046140898258,-1.0526785137847643,-1.3087879188705809
user_34,-1,3325.65,419692.25,416366.6,2023-01-05 04:22:00,0,-0.0238704205265431,-1.367086823069883,-1.7507429662096103
user_7,1,26249.54,45417.67,71667.20999999999,2023-01-01 01:53:00,0,0.1048550504572127,2.097358447251634,0.5736199935475434
user_46,1,6107.19,346780.38,352887.57,2023-01-03 16:21:00,0,-0.0182525267654331,-1.1681638706594777,-1.0375304927291764
user_50,-1,6927.13,200656.06,193728.93,2023-01-03 15:08:00,0,-0.0297230366602163,-0.8497750406748021,-0.8928457948465616
user_57,1,29358.8,63505.0,92863.8,2023-01-07 01:14:00,0,0.0794716820155206,1.9381937180057287,0.6917131335955706
user_83,1,6287.17,293087.7,299374.87,2023-01-04 17:47:00,0,-0.0174076831853613,-1.0927471026320326,-1.0040789941684307
user_78,-1,14605.18,165441.1,150835.92,2023-01-07 19:54:00,0,-0.0415542643235954,-0.0387114613052991,-0.0576675346179143
user_7,-1,14240.64,105227.18,90986.54,2023-01-03 21:30:00,0,-0.0519125206775135,0.4810062633896717,-0.0853752460961578
user_1,-1,8760.83,132684.09,123923.26,2023-01-07 12:09:00,0,-0.0366564323071616,-0.3415635106067866,-0.6259595277515644
user_90,1,30347.61,377160.96,407508.57,2023-01-01 00:30:00,0,-0.0044277958624658,-0.1403716088598291,0.7265099322190898
user_69,1,39947.34,99359.56,139306.9,2023-01-04 08:06:00,0,0.0662411600725606,1.815725199397827,1.0126310672903274
user_94,-1,24579.22,409385.52,384806.3000000001,2023-01-01 18:21:00,0,-0.0353384635431088,-0.430506129125711,0.50389934987221
user_63,1,14470.95,488769.09,503240.04,2023-01-02 00:46:00,0,-0.0156136295386535,-0.938734737866246,-0.0677839639832743
